0,1,2,PERSON_INJURY
-0.9635872658478628,56.949419591315326,-4.484703628455775,Killed
-0.9623484081786843,59.95911029880528,-4.508523934124546,Killed
-1.934918448347548,39.81526928191749,-22.359983349841194,Killed
-3.9794012660820592,3.932901106232954,-9.051729222860494,Killed
-5.958497572071556,25.873589424112343,-14.224194390054707,Killed
-6.985975348709587,28.99422732218259,-0.2562152572920873,Killed
-6.938867388904089,73.88716990814709,-12.636597135824575,Killed
-6.9632935877975966,15.87568967752465,-14.135821971200993,Killed
-12.930998743234577,85.89645176626324,-13.787206845219156,Killed
-13.929257937462545,80.88020809127035,-15.744414764643343,Killed
-15.979591105933967,37.49280195361097,-1.3684308322463137,Killed
-19.931316971814095,59.84988309144676,-19.571353554509866,Killed
-21.988295112773073,22.995406263045613,-0.22900890904615734,Killed
-28.948505590995925,83.97387267337359,-5.803410001559496,Killed
-28.95997633762172,51.95995911244789,-7.523883928610374,Killed
-28.933612559100883,50.8457255709311,-20.510900629121707,Killed
-29.958717348488424,41.92021778270081,-10.409140879752533,Killed
-36.94160391003538,63.9111684654143,-13.649577616498297,Killed
-43.9415971099947,20.80434304815163,-23.255109649679717,Killed
-45.946534623169505,53.91405214450282,-13.575004205729186,Killed
-45.92325896594386,71.85289711130835,-20.731397166019434,Killed
-46.928902899988614,67.84727182301856,-18.673416536966613,Killed
-46.92831391413489,69.85422139041275,-18.6842087274854,Killed
-47.93026627327829,44.82838948084258,-23.499116382977327,Killed
-48.9227276921227,72.85353155599057,-20.746485778779444,Killed
-52.933944991851675,83.92637999142579,-12.853141728571524,Killed
-54.98036557207123,5.965065955276362,-8.174410903736389,Killed
-54.94741070879753,30.87476202208335,-18.390985971401175,Killed
-56.95925660365241,31.931754082063744,-12.40776192976154,Killed
-61.93635457790066,74.92004453807095,-13.790518349628847,Killed
-62.932002631611034,91.92177479180597,-11.910890245463177,Killed
-62.94253353852674,23.847097913894373,-22.349207221403105,Killed
-62.90725421793814,91.83340478808391,-23.940763688657118,Killed
-63.972094270434084,30.97169464326752,-6.383061303314415,Killed
-63.94095475430548,60.915291130231026,-14.674408433002313,Killed
-67.95299784583206,57.944526332940626,-9.628833631284868,Killed
-68.9503908343678,41.90048339867298,-14.49367919355041,Killed
-68.9370600482897,29.81668241516307,-23.38790765861789,Killed
-70.94599791316053,54.92709722655169,-13.6360456600774,Killed
-70.9357026582411,37.84605641739953,-22.48372992227966,Killed
-71.95979460014483,65.00502302903087,-4.724916051855503,Killed
-76.96185245210933,51.97478486944308,-6.591488684206797,Killed
-80.92447270749926,60.85213980667015,-22.70759915121276,Killed
-82.94098106826343,68.92507541155867,-12.752051794575907,Killed
-85.93801155294018,37.351536864252324,-21.511896215792788,Killed
-86.93075539206747,68.882758368397,-17.75806564554701,Killed
-88.94147697432682,63.93627438218895,-13.753793042552479,Killed
-90.97608455879342,23.000551888211792,-6.398515945254082,Killed
-92.93508698072459,72.92674320062659,-14.838907154933432,Killed
-93.92185828232226,94.89420188933221,-16.006103925030185,Killed
-96.92132064192015,96.91735605778936,-16.052854418477846,Killed
-97.93162678534566,58.884447504179775,-19.723805612212455,Killed
-97.92944637367302,63.87131601895491,-19.74355606341568,Killed
-97.93113528533873,42.85243564695293,-23.585686549032744,Killed
-98.93440835953794,52.870804433669896,-19.643710845881337,Killed
-99.95984155577153,51.99188852757913,-7.6711820419573655,Killed
-102.94487303109378,56.92433665679045,-13.687372681325677,Killed
-104.93346925099621,71.92094852553234,-15.851791307223786,Killed
-104.94509252868318,17.843531818458306,-22.36252644318262,Killed
-106.93818933469673,70.9412839526548,-13.848798238300478,Killed
-107.94062352058404,44.88556543512215,-18.597930670234696,Killed
-107.9360075711534,32.856520254305494,-23.518051759485694,Killed
-108.94354581521087,80.98792214870289,-8.944137720716705,Killed
-108.94134980216101,38.891519149891764,-19.572755111441815,Killed
-110.98806157918834,23.03808956237168,-0.4132547551856745,Killed
-111.95516320645014,56.9924233990521,-8.740695694449135,Killed
-112.95383990164953,21.896544028214027,-17.410197199058334,Killed
-113.98234702484483,24.022008447321877,-3.434799304750777,Killed
-113.92058649015435,76.88571830063805,-20.918055504198904,Killed
-114.9864194713878,23.053193150419027,-1.4475363280672742,Killed
-115.94548720201983,34.890169773972126,-18.52721867713539,Killed
-116.98665278672715,26.03938743635131,-0.4526016791856143,Killed
-116.97666232633426,43.05281913637081,-1.6254181395425313,Killed
-118.94243995311898,36.88273593150565,-19.55037250302477,Killed
-120.94437719302333,32.88386459436392,-19.52019288560961,Killed
-121.92588091156887,61.88128134838525,-21.8039256815184,Killed
-122.9417086718036,20.84990945705321,-23.41465498327848,Killed
-125.95026416396851,42.929770788775876,-14.62427544743657,Killed
-128.9573488869854,60.99826438730427,-6.777296184089776,Killed
-130.980051268873,32.03780926882126,-2.533188498787499,Killed
-130.93998985692502,28.876766511695614,-22.531391905553072,Killed
-132.95449424201436,49.983058973603434,-10.721323444976022,Killed
-133.94231752957805,19.8707807275877,-23.45914300650911,Killed
-136.94630353232802,28.891800465255752,-19.51819623960185,Killed
